store_name,address,state,county,lat,lng,service_level
Eve Women's Medical Center- 79th Ave,3900 NW 79th Ave,Florida,Miami-Dade,25.8106,-80.3265,4
Hialeah Pregnancy Help Medical Clinic,"390 W 49th St
Hialeah, FL 33012",Florida,Miami-Dade,25.8664,-80.2904,2
North Miami Pregnancy Help Medical Clinic,"660 NE 125th St
North Miami, FL 33161",Florida,Miami-Dade,25.8901,-80.1851,2
Parenting with a Purpose Life Center,"6625 Miami Lake Dr, Ste 217
Miami Lakes, FL 33014",Florida,Miami-Dade,25.909,-80.3076,2
Planned Parenthood- Golden Glades-Miami Health Center,585 N.W. 161 St,Florida,Miami-Dade,25.9225,-80.2101,4
A Woman's Care,68 NE 167th St,Florida,Miami-Dade,25.9278,-80.1992,4
Pregnancy Help,"1515 NW 167th St, Ste 190
Miami Gardens, FL 33169",Florida,Miami-Dade,25.928,-80.2269,2
Women and Teens Healthcare,16876 NE 19th Ave,Florida,Miami-Dade,25.9312,-80.1625,4
Hope Women's Centers,"10081 Pines Blvd, Ste E-1
Pembroke Pines, FL 33024",Florida,Broward,26.009,-80.2791,2
Pregnancy Help Center,"4747 Hollywood Blvd, Ste #101
Hollywood, FL 33021",Florida,Broward,26.0106,-80.1912,2
Planned Parenthood- Pembroke Pines Health Center,263 North University Drive,Florida,Broward,26.0109,-80.248,4
Aastra Women's Center,10 SW 44th Ave,Florida,Broward,26.1206,-80.2064,4
Pregnancy Help,"525 NE 13 St
Fort Lauderdale, FL 33304",Florida,Broward,26.1424,-80.1385,2
Community Pregnancy Clinics,"940 Fifth Ave N
Naples, FL 34102",Florida,Collier,26.1527,-81.7956,2
Fort Lauderdale Abortion Clinic,2001 W Oakland Park Blvd,Florida,Broward,26.1663,-80.1629,4
Hope Women's Centers,"1400 E Oakland Park Blvd, Ste 201
Ft. Lauderdale, FL 33334",Florida,Broward,26.1666,-80.1285,2
Community Pregnancy Clinics,"2977 Goodlette-Frank Rd N Naples, FL 34103",Florida,Collier,26.1818,-81.7922,2
Planned Parenthood- Naples Health Center,1425 Creech Road,Florida,Collier,26.1822,-81.7937,4
McAllen Pregnancy Center,"816 S Main St
McAllen, TX 78501",Texas,Hidalgo,26.1961,-98.236,2
Whole Women's Health of McAllen,802 S Main St,Texas,Hidalgo,26.1966,-98.2358,3
Pregnancy Resource Center of the Rio Grande Valley,"216 E Tom Landry St
Mission, TX 78572",Texas,Hidalgo,26.2155,-98.3237,2
Hope Women's Centers,"943 SW 71 Ave
North Lauderdale, FL 33068",Florida,Broward,26.2178,-80.2205,2
"Michael Benjamin, MD BSSI",7777 N University Dr,Florida,Broward,26.2185,-80.2541,4
Pregnancy Help,"5115 Coconut Creek Pkwy
Margate, FL 33063",Florida,Broward,26.245,-80.2002,2
PRC Clinic,"15205 Collier Blvd, Ste 209
Naples, FL 34119",Florida,Collier,26.2689,-81.6911,2
Palm Beach Women's Clinic,"200 Glades Rd, Ste 3 Boca Raton, FL 33432",Florida,Palm Beach,26.361,-80.0906,2
Planned Parenthood- Boca Raton Health Center,8177 Glades Rd.,Florida,Palm Beach,26.3693,-80.1725,4
"Immokalee Pregnancy Center, Inc.","1011 W Main St, Ste 1
Immokalee, FL 34142",Florida,Collier,26.4181,-81.4281,2
Birthline/Lifeline Pregnancy Care Centers,"212 E Boynton Beach Blvd
Boynton Beach, FL 33435",Florida,Palm Beach,26.5286,-80.0617,2
PRC Clinic,"13770 Plantation Rd, Unit 3
Fort Myers, FL 33912",Florida,Lee,26.5424,-81.8475,2
Verity Pregnancy & Medical Resource Center,"8890 Salrose Ln, Ste 104
Fort Myers, FL 33912",Florida,Lee,26.5483,-81.809,2
Planned Parenthood- Ft. Myers Health Center,8595 College Parkway,Florida,Lee,26.5512,-81.8895,4
Community Pregnancy Clinics,"8660 College Pkwy, Ste 200
Fort Myers, FL 33919",Florida,Lee,26.5573,-81.8986,2
Fort Meyers Women's Health Center,3900 Broadway,Florida,Lee,26.6091,-81.8621,4
Office of Dr. Phillip F Waterman II MD FACOG,650 Del Prado Blvd,Florida,Lee,26.6213,-81.9409,4
Planned Parenthood- Wellington Health Center,10111 Forest Hill Blvd,Florida,Palm Beach,26.6507,-80.2059,4
Southwest Florida Women's Clinic,710 Pondella Rd ,Florida,Lee,26.6673,-81.9071,4
Palm Beach Women's Clinic,"12989 Southern Blvd, Ste 205
Loxahatchee, FL 33470",Florida,Martin,26.6838,-80.2509,2
Birthline/Lifeline Pregnancy Care Centers,"3115 45th St
West Palm Beach, FL 33407",Florida,Palm Beach,26.76,-80.1019,2
Presidential Women's Center,100 Northpoint Pkwy,Florida,Palm Beach,26.7605,-80.1,4
Palm Beach Women's Clinic,"8645 N Military Trail, Ste 512
Palm Beach Gardens, FL  33410",Florida,Palm Beach,26.8044,-80.1072,2
Catholic Charities,"1200 E Main St Pahokee, FL 33476",Florida,Palm Beach,26.8301,-80.6549,2
Venice Woman's Health Center: Azima Ali MD,21178 Olean Blvd,Florida,Charlotte,26.9866,-82.1004,4
Pregnancy Solutions,"3005 Caring Way, Unit 2
Port Charlotte, FL 33952",Florida,Charlotte,26.988,-82.1029,2
Pregnancy Careline Center,"1685 Tamiami Trail, Ste 4
Port Charlotte, FL 33948",Florida,Charlotte,27.0083,-82.1368,2
Pregnancy Solutions,"504 E Venice Ave
Venice, FL 34285",Florida,Sarasota,27.0996,-82.4364,2
Venice Area Pregnancy Care Center,"301 Bayshore Dr
Venice, FL 34285",Florida,Sarasota,27.103,-82.4503,1
Care Net Pregnancy Services of the Treasure Coast,"965 SE Federal Hwy
Mayfair Plaza, FL 34994",Florida,St. Lucie,27.1908,-80.2502,2
All Women's Health Center of Sarasota,2700 S Tamiami Trail,Florida,Sarasota,27.1932,-82.4893,4
Planned Parenthood- Martin County Health Center,1322 NW Federal Hwy.,Florida,Martin,27.2215,-80.2639,4
Pregnancy Center of Okeechobee,"808 NE Park St Okeechobee, FL 34972",Florida,Okeechobee,27.2426,-80.8207,2
CareNet Pregnancy Services of the Treasure Coast,"3237 SW Port St Lucie Blvd
Port St Lucie, FL 34953",Florida,Saint Lucie,27.2476,-80.3749,2
Choices Family Resource Centers,"225 E Royal Palm St
Lake Placid, FL 33852",Florida,Highlands,27.2953,-81.3629,1
Sarasota Medical Pregnancy Center,"1762 Hawthorne St, Ste 5
Sarasota, FL 34239",Florida,Sarasota,27.3179,-82.5344,2
Care Net Pregnancy Services of the Treasure Coast,"6704 S US Hwy 1
Port St Lucie, FL 34952",Florida,St. Lucie,27.3376,-80.3257,2
Community Pregnancy Clinics,"1419 7th St
Sarasota, FL 34236",Florida,Sarasota,27.3424,-82.5422,2
Planned Parenthood- Sarasota Health Center,736 Central Avenue,Florida,Sarasota,27.3429,-82.5426,4
My Choice Pregnancy Center,"5277 N Tamiami Trail
Sarasota, FL 34234",Florida,Sarasota,27.3799,-82.5564,2
A Woman's World Medical Center,503 S 12th St,Florida,St. Lucie,27.443,-80.3352,4
Pregnancy Care Center,"1119 Delaware Ave
Fort Pierce, FL 34950",Florida,St. Lucie,27.4432,-80.3349,2
Care Net Manasota,"5111 26th St W
Bradenton, FL 34207",Florida,Manatee,27.4503,-82.5873,2
Choices Family Resource Centers,"1119 US Hwy 27 S
Sebring, FL 33870",Florida,Highlands,27.4732,-81.469,1
The Grace Pregnancy Center,"2520 Lane St
Laredo, TX 78043",Texas,Webb,27.5133,-99.4704,2
Laredo Life Pregnancy Center,"1601 Musser St
Laredo, TX 78043",Texas,Webb,27.5146,-99.4802,2
North River Care Pregnancy Center,"1020 10th Ave W, Ste 100 Palmetto, FL 34221",Florida,Manatee,27.5223,-82.5754,2
Choices Family Resource Centers,"417 Carlton St
Wauchula, FL 33873",Florida,Hardee,27.5363,-81.8141,1
Choices Family Resource Centers,"12 S Lake St
Avon Park, FL 33825",Florida,Highlands,27.5952,-81.5024,1
A Caring Center for Women,"1986 31st Ave, Ste 100
Vero Beach, FL 32960",Florida,Indian River,27.6379,-80.417,2
Care Net Pregnancy Center of Indian River County,"1503 24th St
Vero Beach, FL 32960",Florida,Indian River,27.643,-80.4007,2
Choices Women's Center,"3018 E College Ave
Ruskin, FL 33570",Florida,Hillsborough,27.7151,-82.3924,2
Pregnancy Center of the Coastal Bend,"4730 Everhart Rd Corpus Christi, TX 78411",Texas,Nueces,27.7194,-97.381,2
Corpus Christi Hope House,"3226 Reid Dr
Corpus Christi, TX 78404",Texas,Nueces,27.7553,-97.3906,2
The Next STEPP Center,"1210 22nd St S
St Petersburg, FL33712",Florida,Pinellas,27.7586,-82.6627,2
Birthright of Corpus Christi,"1422 Baldwin Blvd
Corpus Christi, TX 78404",Texas,Nueces,27.768,-97.4083,2
All Women's Health Center Inc.- Saint Petersburg,4131 Central Ave,Florida,Pinellas,27.771,-82.6894,4
Coastal Birth Control Center,1901 Morgan Ave,Texas,Nueces,27.7782,-97.4101,3
Foundations of Life,"1213 16th St N
St Petersburg, FL 33705",Florida,Pinellas,27.7843,-82.6545,2
Woman's Health Centers- St. Petersburg Health Center,3401 66th St N,Florida,Pinellas,27.8054,-82.7285,4
Bay Area Pregnancy Center,"4000 43rd St N
St Petersburg, FL 33714",Florida,Pinellas,27.8089,-82.6924,1
A Woman's Place Medical Clinic,"8001 66th St N
Pinellas Park, FL 33781",Florida,Pinellas,27.8449,-82.7282,2
Pregnancy Center of the Coastal Bend,"13725 Northwest Blvd
Corpus Christi, TX 78410",Texas,Nueces,27.8552,-97.6359,2
Pregnancy Center of the Coastal Bend,"619 Railroad
Portland, TX 78374",Texas,San Patricio,27.8751,-97.322,2
Options for Women Pregnancy Help Clinic,"495 E Summerlin St
Bartow, FL 33830",Florida,Polk,27.8954,-81.84,2
Bay Area Pregnancy Center,"5812 150th Ave N
Clearwater, FL 33760",Florida,Pinellas,27.9085,-82.7133,1
Choices Pregnancy Care Program,"210 Dr JA Wiltshire Ave 
Lake Wales, FL 33853",Florida,Polk,27.91,-81.5873,2
Choices Clinic,"619 Eichenfeld Dr
Brandon, FL 33511",Florida,Hillsborough,27.9312,-82.2907,2
Women's Center of Hyde Park/ Tampa Abortion Clinic,502 S Magnolia Ave,Florida,Hillsborough,27.9396,-82.4657,4
Woman's Health Centers- Bread and Roses Health Center,1560 S Highland Ave,Florida,Pinellas,27.9398,-82.7751,4
All Women's Health Center of Tampa,3330 W Kennedy Blvd,Florida,Hillsborough,27.9447,-82.4827,4
Kimberly Home Pregnancy Resource Center,"1189 NE Cleveland St
Clearwater, FL 33755",Florida,Pinellas,27.9677,-82.7882,2
Bay Area Pregnancy Center,"2380 Drew St, #6
Clearwater, FL 33765",Florida,Pinellas,27.9688,-82.7388,1
Options for Women Pregnancy Help Clinic,"4504 Florida Ave S
Lakeland, FL 33813",Florida,Polk,27.9837,-81.9563,2
Lakeland Women's Health Center,4444 Florida Ave S,Florida,Polk,27.9839,-81.9567,4
Options for Women Pregnancy Help Clinic,"4435 Florida National Dr
Lakeland, FL 33813",Florida,Polk,27.9848,-81.9587,2
A Woman's Place Medical Clinic,"6301 Memorial Hwy, Ste 204
Tampa, FL 33615",Florida,Hillsborough,27.9913,-82.5755,2
Foundations of Life,"6515 N Armenia Ave
Tampa, FL 33612",Florida,Hillsborough,28.007,-82.484,2
Pregnancy Care Center of Plant City,"304 N Collins St
Plant City, FL 33563",Florida,Hillsborough,28.0173,-82.1234,2
LifeChoice Pregnancy Center,"235 E Central Ave
Winter Haven, FL 33880",Florida,Polk,28.0225,-81.7245,2
Pregnancy Center of the Coastal Bend,"703 E Concho St
Rockport, TX 78382",Texas,Aransas,28.0252,-97.0542,2
All Women's Health Center of Clearwater,28960 US Hwy 19,Florida,Pinellas,28.0354,-82.7385,4
A Woman's Choice,"1234 E Lime St
Lakeland, FL 33801",Florida,Polk,28.0408,-81.9398,2
Options for Women Pregnancy Help Clinic,"632 W 5th St
Lakeland, FL 33805",Florida,Polk,28.0588,-81.964,2
Planned Parenthood- Tampa Health Center,8068 North 56th Street,Florida,Hillsborough,28.0691,-82.3936,4
Woman's Health Centers- Tampa Health Center,2010 E Fletcher Ave,Florida,Hillsborough,28.0692,-82.3768,4
Knights Women's Center,"2002 E Fletcher Ave
Tampa, FL 33612",Florida,Hillsborough,28.0696,-82.4361,2
Birthright of Melbourne,"2070 Vernon Pl Melbourne, FL 32901",Florida,Brevard,28.0774,-80.607,1
All Women's Health Center of North Tampa,14498 University Cove Pl,Florida,Hillsborough,28.0774,-82.4206,4
A Woman's Place Medical Clinic,"14492 University Cove Pl
Tampa, FL 33613",Florida,Hillsborough,28.0775,-82.4256,2
Oasis Pregnancy Care Centers,"14620 N Nebraska Ave, Ste C
Tampa, FL 33613",Florida,Hillsborough,28.0812,-82.4518,2
Pregnancy Resources,"165 N Babcock St
Melbourne, FL 32935",Florida,Brevard,28.11,-80.6214,2
A Woman's Place Medical Clinic,"927 E Klosterman Rd
Tarpon Springs, FL 34689",Florida,Pinellas,28.1235,-82.7414,2
Life Choices Family Medical,"18560 N Dale Mabry Hwy Lutz, FL 33548",Florida,Hillsborough,28.1416,-82.4999,1
Oasis Pregnancy Care Centers ,"3632 Land O'Lakes Blvd, Ste 108
Land O'Lakes, FL 34639",Florida,Pasco,28.2104,-82.4611,2
Oasis Pregnancy Care Centers,"5854 Argerian Dr, Ste 103
Wesley Chapel, FL 33545",Florida,Pasco,28.2423,-82.3265,2
West Pasco Women's Wellness & Pregnancy Center,"8125 US-19 
Port Richey, FL 34668",Florida,Pasco,28.2756,-82.7214,2
JMJ Pregnancy Center,"800 N Rose Ave
Kissimmee, FL 34741",Florida,Osceola,28.2993,-81.4122,2
Planned Parenthood- Kissimmee Health Center,610 Oak Commons Blvd.,Florida,Osceola,28.3022,-81.4108,4
Osceola Pregnancy Center,"1340 W Columbia Ave
Kissimmee, FL 34741",Florida,Osceola,28.3078,-81.4179,2
Agape Pregnancy Center,"300 Magnolia Ave, Ste C 
Merritt Island, FL 32952",Florida,Brevard,28.3562,-80.7036,2
Foundations of Life,"37733 Meridian Ave
Dade City, FL 33525",Florida,Pasco,28.3649,-82.1914,2
A New Generation,"3027 Landover Blvd Spring Hill, FL 34608",Florida,Hernando,28.4838,-82.5453,2
Foundations of Life,"8370 Forest Oaks Blvd
Spring Hill, FL 34606",Florida,Hernando,28.4864,-82.5813,2
First Life Center for Pregnancy,"3125 Bruton Blvd, Ste B
Orlando, FL 32805",Florida,Orange,28.5106,-81.4254,2
Anderson House Pregnancy Resource Center,"701 W Houston Carizzo Springs, TX 78834",Texas,Dimmit,28.5233,-99.8619,2
Orlando Women's Center/ Abortion Clinic,1103 Lucerne Terrace,Florida,Orange,28.529,-81.3806,4
Planned Parenthood- Downtown Orlando Health Center,726 South Tampa Ave,Florida,Orange,28.5338,-81.4052,4
Choices Women's Clinic,"1851 W Colonial Dr
Orlando, FL 32804",Florida,Orange,28.5532,-81.4044,2
JMJ Pregnancy Center,"1401 W Colonial Dr
Orlando, FL 32804",Florida,Orange,28.5533,-81.3996,2
EPOC Abortion Clinic,609 Virginia Dr,Florida,Orange,28.5641,-81.3696,4
Pregnancy and Family Care Center South Lake ,"221 N Frontage Rd, Ste C
Clermont, FL 34711",Florida,Lake,28.5664,-81.7457,1
Accept Pregnancy Center,"407 Dillard St Winter Garden, FL 34787",Florida,Orange,28.5713,-81.5826,1
ThriVe Orlando Express Women's Health Center,"2025 Culver Rd
Orlando, FL 32817",Florida,Orange,28.5715,-81.2363,2
The Pregnancy Center at Beta,"620 Garden St Titusville, FL 32796",Florida,Palm Beach,28.6156,-80.8125,1
Pregnancy Help Center of the Crossroads Area,"615 N Virginia
Port Lavaca, TX 77979",Texas,Calhoun,28.6191,-96.6303,2
Choices Womens Clinic,"100 Carrigan Ave
Oviedo, FL 32765",Florida,Seminole,28.6267,-81.2071,2
All Women's Health Center of Orlando,1800 Pembrook Dr,Florida,Orange,28.6321,-81.4017,4
Life Choices Medical Clinic,"441 Maitland Ave Altamonte Springs, FL 32701",Florida,Seminole ,28.6556,-81.3655,2
All Women's Health Center of Orlando Inc.,431 Maitland Ave,Florida,Seminole,28.6563,-81.3658,4
Apopka Pregnancy Care Center,"111 E 6th St
Apopka, FL 32712",Florida,Orange,28.6709,-81.5091,2
The Pregnancy Center of Sanford,"1002 S French Ave Sanford, FL 32771",Florida,Seminole ,28.8034,-81.2733,2
Pregnancy and Family Care Center,"1309 High St, Bldg 104
Leesburg, FL 34748",Florida,Lake,28.8122,-81.8855,1
"Crisis Pregnancy Center of Victoria, Texas, Inc.","1501 E Red River St, Ste C1
Victoria, TX 77901",Texas,Victoria,28.8133,-96.9891,2
Life's Choices Women's Clinic,"27 E Pinehurst Blvd Eustis, FL 32726",Florida,Lake,28.8354,-81.6847,2
The Pregnancy and Family Life Center,"317 W Tompkins St
Inverness, FL 34450",Florida,Citrus,28.8368,-82.3337,2
Citrus Pregnancy Center,"3185 E Thomas St
Inverness, FL 34450",Florida,Citrus,28.8528,-82.3814,2
Citrus Pregnancy Center,"726 NE Hwy 19
Crystal River, FL 34429",Florida,Citrus,28.8994,-82.5897,2
Central Florida Pregnancy Center,"3151 Howland Blvd, Ste 100A
Deltona, FL 32725",Florida,Volusia,28.9466,-81.2434,2
Women's Pregnancy Center of Matagorda County,"3107 Ave F
Bay City, TX 77414",Texas,Matagorda,28.972,-95.9694,2
The Pregnancy Help Center,"327 Garland Dr
Lake Jackson, TX 77566",Texas,Brazoria,29.0158,-95.423,2
Grace House Pregnancy Center,"307 N Orange St
New Smyrna Beach, FL 32168",Florida,Volusia,29.0265,-80.9264,2
Grace House Pregnancy Center,"336 N Woodland Blvd
Deland, FL 32720",Florida,Volusia,29.0331,-81.3039,2
Ocala Women's Center,108 N Pine Ave,Florida,Marion,29.1854,-82.1402,4
Women's Pregnancy Center,"1701 E Silver Springs Blvd
Ocala, FL 34470",Florida,Marion,29.1874,-82.1151,2
Alpha Center for Women,"118 N Pine Ave
Ocala, FL 34475",Florida,Marion,29.1884,-82.1413,1
Resources for Women,"641 S Ridgewood Ave
Daytona Beach, FL 32114",Florida,Volusia,29.2,-81.0167,2
Grace House Pregnancy Center,"435 S Yonge St, Ste 1
Ormond Beach, FL 32174",Florida,Volusia,29.2719,-81.0556,2
Pregnancy Help Center Galveston,"1709 23rd St
Galveston, TX 77550",Texas,Galveston,29.2934,-94.7899,2
Baptist Healthy Women's Center,"1213 SW Military Dr
San Antonio, TX 78221",Texas,Bexar,29.3571,-98.5122,2
Amistad Pregnancy Care Center,"104 Fletcher
Del Rio, TX 78840",Texas,Val Verde,29.3865,-100.912,2
Tri-County Pregnancy Center,"426 W Noble Ave
Williston, FL 32696",Florida,Levy,29.3868,-82.4522,1
Pregnancy and Parenting Support Center,"602 6th St N
Texas City, TX 77590",Texas,Galveston,29.3906,-94.9022,2
Baptist Healthy Women's Center,"2000 SE Loop 410, Ste 128
San Antonio, TX 78222",Texas,Bexar,29.4026,-98.3875,2
East Side Pregnancy Care Center,"311 Hedges St
San Antonio, TX 78203",Texas,Bexar,29.4173,-98.4584,1
Baptist Healthy Women's Center,"2614 W Commerce, Ste 300
San Antonio, TX 78207",Texas,Bexar,29.4277,-98.5242,2
Any Woman Can,"404 N Alamo St
San Antonio, TX 78205",Texas,Bexar,29.4289,-98.4845,2
Allied Women's Center,"102 Marshall St
San Antonio, TX 78212",Texas,Bexar,29.4381,-98.4967,2
Tri-County Pregnancy Center,"20098 N US Hwy 441
McIntosh, FL 32664",Florida,Marion,29.4419,-82.2233,1
The Source,"3234 Northwestern Dr
San Antonio, TX 78238",Texas,Bexar,29.4652,-98.6249,2
Alpha Women's Center,"4751 E Moody Blvd, Bldg 5
Bunnell, FL 32110",Florida,Flagler,29.4747,-81.2238,2
Baptist Healthy Women's Center,"3534 Fredericksburg Rd, Ste 20
San Antonio, TX 78201",Texas,Bexar,29.4777,-98.5381,2
Harmony Pregnancy & Resource Center,"721 NE 4th St
Chiefland, FL 32626",Florida,Levy,29.4853,-82.8557,1
Pregnancy Care Center of San Antonio,"7210 Louis Pasteur Dr, Ste 100
San Antonio, TX 78229",Texas,Bexar,29.5,-98.5772,2
Planned Parenthood- South Texas Health Center,2140 Babcock Rd,Texas,Bexar,29.5027,-98.5818,3
A Woman's Haven,"2202 Babcock Rd 
San Antonio, TX 78229",Texas,Bexar,29.5033,-98.5829,2
Alamo Women's Reproductive Services,7402 John Smith Dr,Texas,Bexar,29.5063,-98.586,3
Baptist Healthy Women's Center,"5253 Walzem Rd, Ste 2
San Antonio, TX 78218",Texas,Bexar,29.5112,-98.386,2
Center for Pregnancy,"347-B E Parkwood Ave 
Friendswood, TX 77546",Texas,Galveston,29.5128,-95.1839,2
Anchor Point,"103 Davis Rd, Ste B
League City, TX 77573",Texas,Galveston,29.5296,-95.0738,2
Pregnancy Resource Medical Center,"4411 Ave N
Rosenberg, TX 77471",Texas,Fort Bend,29.5491,-95.7804,2
Planned Parenthood- Center for Choice Ambulatory Surgical Center,4600 Gulf Freeway,Texas,Harris,29.5622,-95.1623,3
South Texas Pregnancy Care Center,"975 W Court St
Seguin, TX 78155",Texas,Guadalupe,29.569,-97.9805,2
Beltway 8 South Crisis Pregnancy Center,"10851 Scarsdale Blvd, Ste 800
Houston, TX 77089",Texas,Harris,29.5843,-95.2152,2
Hope Restored Pregnancy Resource Center,"1181 W Tunnel Blvd, Ste E Houma, LA 70360",Louisiana,Terrebonne,29.5944,-90.7413,2
Any Woman Can,"109 Gallery Cir, Ste 115
San Antonio, TX 78258",Texas,Bexar,29.6134,-98.4923,2
Resources for Women,"19115 FM 2252 #1
San Antonio, TX 78266",Texas,Comal,29.6214,-98.3042,2
A Woman's Answer Medical Center,"3601 SW 2nd Ave, Ste Z
Gainesville, FL 32607",Florida,Alachua,29.6501,-82.3769,2
A Women's Resource Center,"219 N Palm Ave
Palatka, FL 32177",Florida,Putnam,29.6516,-81.662,2
Community Pregnancy Clinics,"1800 W University Ave, Ste 310
Gainesville, FL 32603",Florida,Alachua,29.6523,-82.3466,2
Community Pregnancy Center of Pasadena,"4230 Vista Rd
Pasadena, TX 77504",Texas,Harris,29.6583,-95.1782,2
Sira,"912 NW 13th St
Gainesville, FL 32601",Florida,Alachua,29.6605,-82.3396,2
Bread and Roses Women's Health Center,1233 NW 10th Ave,Florida,Alachua,29.6612,-82.3379,4
Women's Pregnancy Center,"10103 Fondren Rd, Ste 230
Houston, TX 77096",Texas,Harris,29.669,-95.508,2
All Women's Health Center of Gainesville,1135 NW 23rd Ave,Florida,Alachua,29.6739,-82.3363,4
The Source for Women,"10023 S Main, C-8 Houston, TX 77025",Texas,Harris,29.6754,-95.4284,2
Options For Life,"1126 N Loop 337
New Braunfels, TX 78130",Texas,Comal,29.7239,-98.1055,2
Hannah's Heart of Hope Women's Center,"3707 Westcenter Dr, Ste 177
Houston, TX 77042",Texas,Harris,29.7239,-95.5534,2
Suburban Women's Clinic- SW Houston,3101 Richmond Ave,Texas,Harris,29.7336,-95.4249,3
Downtown Pregnancy Help Center,"3636 San Jacinto St Houston, TX 77004",Texas,Harris,29.7377,-95.378,2
Blessed Beginnings Pregnancy and Parenting Life Center,"2900 Louisiana St
Houston, TX 77006",Texas,Harris,29.7449,-95.3789,2
The Houston Women's Clinic,4820 San Jacinto St,Texas,Harris,29.7499,-95.3679,3
Pregnancy Resource Center East,"2802 Garth Rd, Ste 209 Baytown, TX 77521",Texas,Harris,29.7523,-94.9779,2
Fifth Ward Pregnancy Help Center,"743 Shotwell St Houston, TX 77020",Texas,Harris,29.7751,-95.3114,2
Answers Health and Resource Facility,"115 Commercial Cir
Keystone Heights, FL 32656",Florida,Clay,29.7869,-82.0287,2
Sealy Pregnancy Resource Center,"2555 FM 1094 Rd
Sealy, TX 77474",Texas,Austin,29.7888,-96.1861,2
Birthright of Houston,"1200 Blalock Rd, Ste 104
Houston, TX 77055",Texas,Harris,29.7893,-95.5207,2
Pregnancy Help Center of Weset Houston,"1450 E Summitry Cir
Katy, TX 77449",Texas,Harris,29.7929,-95.7437,2
Crossroads Pregnancy Resource Center,"105 St Louis St
Thibodaux, LA 70301",Louisiana,Lafourche,29.7981,-90.8205,2
The Source for Women,"8312 Long Point Rd
Houston, TX 77055",Texas,Harris,29.8037,-95.4943,2
Hill Country Pregnancy Care Center,"439 Fabra St
Boerne, TX 78006",Texas,Kendall,29.8044,-98.7398,2
The Share Center,"17080 Hwy 46 W, Ste 113
Spring Branch, TX 78070",Texas,Comal,29.8046,-98.3783,2
Texas Ambulatory Surgical Center,2505 N Shepherd Dr,Texas,Harris,29.8091,-95.4105,3
Blue Blossom Pregnancy Center,"2925 W TC Jester Blvd
Houston, TX 77018",Texas,Harris,29.8145,-95.4458,2
Foundation for Life,"10900 NW Freeway, Ste 112
Houston, TX 77092",Texas,Harris,29.8173,-95.4651,2
St. Gerard Campus,"1405 US Hwy 1 S
St. Augustine, FL 32085",Florida,St. Johns,29.8761,-81.3249,2
TruChoice Prengnacy Resource Center,"115 Warden Ln
San Marcos, TX 78666",Texas,Hays,29.8917,-97.9202,2
Life Services,"27 Sevilla St
St. Augustine, FL 32084",Florida,St. Johns,29.8951,-81.3171,2
Access Pregnancy & Referral Centers,"1430 Claire Ave
Gretna, LA 70053",Louisiana,Jefferson,29.9056,-90.061,2
Community Center for Life,"539 Lafayette St
Gretna, LA 70053",Louisiana,Jefferson,29.9158,-90.0608,2
Women's Health Care Center***,2701 General Pershing St,Louisiana,Orleans,29.9375,-90.1017,3
Mission Greenspoint,"11947 N Freeway
Houston, TX 77060",Texas,Harris,29.9385,-95.4142,2
Women's New Life Clinic,"4612 S Claiborne Ave
New Orleans, LA 70125",Louisiana,Orleans,29.9396,-90.1063,2
Care Net Pregnancy Center,"12311 Queenston Blvd
Houston, TX 77095",Texas,Harris,29.9461,-95.6749,2
