id,store_name,store_number,contact_info,address,state,country,county,email,store_hours,dealer_website,image,additional_information,lat,lng,so_id
50059,Hope Network for Single Mothers,na,na,"N88W17658 Christman Rd
Menomonee Falls, WI 53051",Wisconsin,United States,Waukesha,na,na,na,na,na,43.1787,-88.1287,2
50058,Options for Women,na,na,"544 Broadway St S, #404
Menomonie, WI 54751",Wisconsin,United States,Dunn,na,na,na,na,na,44.8776,-91.9295,1
50057,New Dawn Pregnancy Resource Center,na,na,"8778 Earls Ct
Woodruff, WI 54568",Wisconsin,United States,Oneida,na,na,na,na,na,45.8895,-89.6731,2
50056,First Choice Pregnancy Resource Center,na,na,"4011 8th St S
Wisconsin Rapids, WI 54494",Wisconsin,United States,Wood,na,na,na,na,na,44.3585,-89.8164,2
50055,Seed of Hope Center,na,na,"206 N 6th Ave
West Bend, WI 53095",Wisconsin,United States,Washington,na,na,na,na,na,43.4249,-88.184,2
50053,Hope Life Center,na,na,"605 S 24th Ave, Ste 20
Wausau, WI 54401",Wisconsin,United States,Marathon,na,na,na,na,na,44.956,-89.6642,2
50052,Tomorrow's Choice Family Resource Center,na,na,"912 Barstow St
Waukesha, WI 53186",Wisconsin,United States,Waukesha,na,na,na,na,na,43.0126,-88.2295,2
50051,Life's Connection,na,na,"494 W Main St
Waukesha, WI 53186",Wisconsin,United States,Waukesha,na,na,na,na,na,43.0104,-88.2365,2
50050,Alpha Resource Center,na,na,"313 E Main St
Watertown, WI 53094",Wisconsin,United States,Jefferson,na,na,na,na,na,43.1938,-88.7216,2
50049,Door of Hope,na,na,"304 N Washington St
Viroqua, WI 54665",Wisconsin,United States,Vernon,na,na,na,na,na,43.5582,-90.8862,2
50048,Lake Superior Life Care Center,na,na,"1823 Belknap St
Superior, WI 54880",Wisconsin,United States,Douglas,na,na,na,na,na,46.7209,-92.1053,2
50047,First Choice Pregnancy Resource Center,na,na,"101 N Division St
Stevens Point, WI 54481",Wisconsin,United States,Portage,na,na,na,na,na,44.5342,-89.5745,2
50046,Anchor of Hope Health Center,na,na,"1018 S Taylor Dr
Sheboygan, WI 53081",Wisconsin,United States,Sheboygan,na,na,na,na,na,43.744,-87.7445,2
50045,Options for Women,na,na,"214 N Main St
River Falls, WI 54022",Wisconsin,United States,Pierce,na,na,na,na,na,44.86,-92.6248,2
50044,Pregnancy Help Center,na,na,"234 N Main St
Rice Lake, WI 54868",Wisconsin,United States,Barron,na,na,na,na,na,45.5042,-91.7338,2
50043,Choices of Life Center,na,na,"729 Grand Ave
Racine, WI 53403",Wisconsin,United States,Racine,na,na,na,na,na,42.725,-87.7879,2
50041,Pregnancy Resource Center,na,na,"306 W Cook St
Portage, WI 53901",Wisconsin,United States,Columbia,na,na,na,na,na,43.5386,-89.4639,2
50040,Clarity Clinic,na,na,"185 E Pine St
Platteville, WI 53818",Wisconsin,United States,Grant,na,na,na,na,na,42.7323,-90.476,2
50039,Bella Medical Clinic,na,na,"1484 W South Park Ave
Oshkosh, WI 54902",Wisconsin,United States,Winnebago,na,na,na,na,na,43.9978,-88.5732,2
50038,Life's Connection,na,na,"307 S Rochester St
Mukwonago, WI 53159",Wisconsin,United States,Kenosha,na,na,na,na,na,42.8615,-88.3315,2
50036,Eyewitness For Life,na,na,"3800 N Mayfair Rd, Ste 110
Milwaukee, WI 53222",Wisconsin,United States,Milwaukee,na,na,na,na,na,43.0882,-88.0473,2
50035,Women's Care Center,na,na,"1441 N Farwell Ave
Milwaukee, WI 53202",Wisconsin,United States,Milwaukee,na,na,na,na,na,43.0489,-87.8964,2
50034,Milwaukee Birthright,na,na,"2025 W Oklahoma Ave, Ste 125
MIlwaukee, WI 53215",Wisconsin,United States,Milwaukee,na,na,na,na,na,42.9872,-87.9397,2
50033,Women's Care Center,na,na,"634 W Historic Mitchell St
Milwaukee, WI 53204",Wisconsin,United States,Milwaukee,na,na,na,na,na,43.0125,-87.9197,2
50032,Alpha Women's Center,na,na,"4820 W Lisbon Ave
Milwaukee, WI 53210",Wisconsin,United States,Milwaukee,na,na,na,na,na,43.0615,-87.9744,2
50031,APS Medical,na,na,"8501 W Lincoln Ave
West Allis, WI 53209",Wisconsin,United States,Milwaukee,na,na,na,na,na,43.0025,-88.0189,2
50030,CareNet Pregnancy Center of Milwaukee,na,na,"4957 W Fond du Lac Ave
Milwaukee, WI 53216",Wisconsin,United States,Milwaukee,na,na,na,na,na,43.0894,-87.9761,2
50029,Women's Support Centers of Milwaukee,na,na,"2051 W Wisconsin Ave
Milwaukee, WI 53233",Wisconsin,United States,Milwaukee,na,na,na,na,na,43.0383,-87.9394,2
50028,Abiding Care Center,na,na,"220 N Main St
Medford, WI 54451",Wisconsin,United States,Taylor,na,na,na,na,na,45.1411,-90.3466,2
50027,Birthright of Marshfield,na,na,"149 N Central
Marshfield, WI 54449",Wisconsin,United States,Wood,na,na,na,na,na,44.6681,-90.1723,2
50026,Bay Area Pregnancy Services,na,na,"2042 Maple Ave, Ste A
Marinette, WI 54143",Wisconsin,United States,Marinette,na,na,na,na,na,45.0992,-87.6344,2
50025,The Crossing of Manitowoc County,na,na,"205 N 8th St
Manitowoc, WI 54221",Wisconsin,United States,Manitowoc,na,na,na,na,na,44.0942,-87.6575,2
50024,Access Women's Center,na,na,"2701 E Washington Ave
Madison, WI 53704",Wisconsin,United States,Dane,na,na,na,na,na,43.1016,-89.3468,2
50022,First Care Clinic,na,na,"1350 MacArthur Rd
Madison, WI 53714",Wisconsin,United States,Dane,na,na,na,na,na,43.1145,-89.3208,2
50021,Women's Care Center,na,na,"3711 Orin Rd
Madison, WI 53704",Wisconsin,United States,Dane,na,na,na,na,na,43.1229,-89.3236,2
50020,Choices Health Network,na,na,"1108 Port Arthur Rd
Ladysmith, WI 54848",Wisconsin,United States,Rusk,na,na,na,na,na,45.4559,-91.1155,2
50019,Agape Pregnancy Resource Center,na,na,"744 Moore St
La Crosse, WI 54603",Wisconsin,United States,La Crosse,na,na,na,na,na,43.8527,-91.2458,2
50018,Birthright of La Crosse,na,na,"115 5th St S, Ste 406
La Crosse, WI 54601",Wisconsin,United States,La Crosse,na,na,na,na,na,43.8114,-91.2497,2
50017,CareNet Family Resource Center,na,na,"6105 22nd Ave
Kenosha, WI 53143",Wisconsin,United States,Kenosha,na,na,na,na,na,42.5792,-87.8353,2
50016,Choices of Life Center,na,na,"6700 30th Ave
Kenosha, WI 53142",Wisconsin,United States,Kenosha,na,na,na,na,na,42.573,-87.8457,2
50015,Pregnancy Helpline and Resource Center,na,na,"21 S Jackson St, Ste C
Janesville, WI 53548",Wisconsin,United States,Rock,na,na,na,na,na,42.681,-89.0261,2
50014,Northwoods New Life Resource Center,na,na,"10045 N State Rd 27, Ste 300
Hayward, WI 54843",Wisconsin,United States,Sawyer,na,na,na,na,na,46.013,-91.4846,2
50013,A&A Alexandrina Center,na,na,"1600 Shawano Ave, Ste 106
Green Bay, WI 54303",Wisconsin,United States,Brown,na,na,na,na,na,44.5305,-88.0601,2
50012,Charis Pregnancy Help Center,na,na,"207 N Main St
Fond du Lac, WI 54935",Wisconsin,United States,Fond du Lac,na,na,na,na,na,43.7847,-88.4467,2
50011,Pregnancy Helpline of Walworth County,na,na,"28 S Wisconsin St
Elkhorn, WI 53121",Wisconsin,United States,Walworth,na,na,na,na,na,42.671,-88.5436,2
50010,Apple Pregnancy Care Center,na,na,"2600 Stein Blvd
Eau Claire, WI 54701",Wisconsin,United States,Eau Claire,na,na,na,na,na,44.7917,-91.5095,2
50009,Pregnancy Helpline of Boscobel,na,na,"1201 S Beaumont Rd
Eastman, WI 54626",Wisconsin,United States,Crawford,na,na,na,na,na,43.0359,-91.1455,2
50008,Pregnancy Helpline of Boscobel,na,na,"409 E Kansas St
Eastman, WI 54626",Wisconsin,United States,Crawford,na,na,na,na,na,43.1386,-90.6994,2
50007,Life Choices Inc.,na,na,"324 Pine St
Burlington, WI 53105",Wisconsin,United States,Racine,na,na,na,na,na,42.6725,-88.2704,2
50006,Willow Womens Clinic,na,na,"2680 Prairie Ave
Beloit, WI 53511",Wisconsin,United States,Rock,na,na,na,na,na,42.5436,-89.0122,2
50004,Pregnancy Support Center of Dodge County,na,na,"108 Parallel St
Beaver Dam, WI 53916",Wisconsin,United States,Dodge,na,na,na,na,na,43.4687,-88.8304,2
50003,Assurance Women's Center,na,na,"507 W Wisconsin Ave
Appleton, WI 54911",Wisconsin,United States,Outagamie,na,na,na,na,na,44.2728,-88.4126,2
50002,Vida Medical Clinic,na,na,"720 W Association Dr
Appleton, WI 54914",Wisconsin,United States,Outagamie,na,na,na,na,na,44.2977,-88.417,2
49017,Birthright of Huntington,na,na,"709 3rd Ave Huntington, WV 25701",West Virginia,United States,Cabell,na,na,na,na,na,38.4213,-82.447,1
49016,Compass Women's Center,na,na,"283 Don Knotts Blvd Morgantown, WV 26501",West Virginia,United States,Monongalia,na,na,na,na,na,39.6142,-79.9707,1
49015,Central WV Center for Pregnancy Care,na,na,"8 Meadows St Buckhannon, WV 26201",West Virginia,United States,Upshur,na,na,na,na,na,38.992,-80.2314,2
49014,Women's Care Center,na,na,"3007 Dudley Ave
Parkersburg, WV 26104",West Virginia,United States,Wood,na,na,na,na,na,39.2842,-81.5364,2
49013,Woman's Choice,na,na,"504 Washington St W
 Charleston, WV 25302",West Virginia,United States,Kanawha,na,na,na,na,na,38.3635,-81.6423,2
49012,TLC Pregnancy Center of Ritchie County,na,na,"2479 WV-16
Harrisville, WV 26362",West Virginia,United States,Ritchie,na,na,na,na,na,39.2095,-81.0513,2
49011,The James Isaac House,na,na,"97 N Davis St
Keyser, WV 26726",West Virginia,United States,Mineral,na,na,na,na,na,39.441,-78.9753,2
49010,The James Isaac House,na,na,"7 S Grove St
Petersburg, WV 26847",West Virginia,United States,Grant,na,na,na,na,na,38.9914,-79.1221,2
49009,The James Isaac House,na,na,"312 E Main St
Kingwood, WV 26537",West Virginia,United States,Upshur,na,na,na,na,na,39.4717,-79.6786,2
49008,Pregnancy Resource Center of Marion County,na,na,"36 Mountain Park Dr
White Hall, WV 26554",West Virginia,United States,Marion,na,na,na,na,na,39.4198,-80.1808,2
49007,Life Choice Pregnancy & Family Resource Center,na,na,"130 S 4th St
Clarksburg, WV 26301",West Virginia,United States,Harrison,na,na,na,na,na,39.2799,-80.3408,2
49006,Cross Roads Pregnancy Care Center,na,na,"1598 Washington St E
Charleston, WV 25311",West Virginia,United States,Kanawha,na,na,na,na,na,38.3406,-81.6165,2
49005,Birthright of Ranson,na,na,"103 S Mildred St
Ranson, WV 25438",West Virginia,United States,Jefferson,na,na,na,na,na,39.2968,-77.8608,2
49004,Birthright of Morgantown,na,na,"11 Rousch Dr Morgantown, WV 26501",West Virginia,United States,Monongalia,na,na,na,na,na,39.6299,-79.9843,2
49003,Birthright of Beckley,na,na,"400 N Vance Dr
Beckley, WV 25801",West Virginia,United States,Raleigh,na,na,na,na,na,37.7833,-81.17,2
49002,Abel Pregnancy Resource Center,na,na,"201 Sylvia Ln
Bluefield, WV 24701",West Virginia,United States,Mercer,na,na,na,na,na,37.254,-81.2368,2
49001,A New Beginning Pregnancy Resource Center,na,na,"925 8th St
Huntington, WV 25701",West Virginia,United States,Cabell,na,na,na,na,na,38.2766,-82.1044,2
48050,Obria Medical Clinics Pacific Northwest,na,na,"32 Kala Square Pl
Port Townsend, WA 98368",Washington,United States,Jefferson,na,na,na,na,na,48.0504,-122.799,2
48049,Obria Medical Clinics Pacific Northwest,na,na,"675 N 5th Ave, Unit 2B
Sequim , WA 98382",Washington,United States,Clallam,na,na,na,na,na,48.0866,-123.114,2
48048,Life Options,na,na,"1616 E Gregory Ave
Sunnyside, WA 98944",Washington,United States,Yakima,na,na,na,na,na,46.3246,-119.999,2
48046,You Medical,na,na,"5040 W Clearwater Ave
Kennewick, WA 99336",Washington,United States,Benton,na,na,na,na,na,46.2126,-119.19,2
48045,Whatcom County Pregnancy Clinic,na,na,"1310 N State St
Bellingham, WA 98225",Washington,United States,Whatcom,na,na,na,na,na,48.7487,-122.476,2
48044,Pregnancy Resource Services,na,na,"1736 NE Riddell Rd, #120
Bremerton, WA 98310",Washington,United States,Kitsap,na,na,na,na,na,47.6073,-122.628,2
48043,Pregnancy Resource Center,na,na,"4310 Hoyt Ave Everett, WA 98203",Washington,United States,Snohomish,na,na,na,na,na,47.9604,-122.21,2
48042,C.A.R.E. Medical Center,na,na,"617 W Division St
Mt Vernon, WA 98273",Washington,United States,Skagit,na,na,na,na,na,48.4219,-122.343,2
48041,Pregnancy Care Clinic,na,na,"670 SE Midway Blvd
Oak Harbor, WA 98277",Washington,United States,Island,na,na,na,na,na,48.2928,-122.643,2
48039,Two Hearts Pregnancy Aid,na,na,"3202 Hoyt Ave
Everett, WA 98201",Washington,United States,Snohomish,na,na,na,na,na,47.975,-122.21,2
48037,Possibilities Women's Center,na,na,"1017 W Main St
Centralia, WA 98531",Washington,United States,Lewis,na,na,na,na,na,46.7189,-122.966,2
48036,Pathways Pregnancy Clinic,na,na,"2926 E St
Washougal, WA 98671",Washington,United States,Clark,na,na,na,na,na,45.5791,-122.339,2
48035,Path of Life,na,na,"103 E Indiana, Ste B
Spokane, WA 99207",Washington,United States,Spokane,na,na,na,na,na,47.6752,-117.409,2
48034,Options360 Women's Clinic,na,na,"3700 Main St
Vancouver, WA 98663",Washington,United States,Clark,na,na,na,na,na,45.6489,-122.668,2
48033,Next Step Pregnancy Services,na,na,"19526 64th Ave W 
Lynnwood, WA 98036",Washington,United States,Snohomish,na,na,na,na,na,47.8216,-122.32,2
48032,N.E.W. Family Life Services Crisis Pregnancy Center,na,na,"144 W 5th Ave
Colville, WA 99114",Washington,United States,Stevens,na,na,na,na,na,48.5487,-117.906,2
48031,MyChoice Clinic,na,na,"2659 N Ash St
Spokane, WA 99205",Washington,United States,Spokane,na,na,na,na,na,47.6824,-117.437,2
48030,Obria Medical Clinics Pacific Northwest,na,na,"824 A E 8th St
Port Angeles, WA 98362",Washington,United States,Clallam,na,na,na,na,na,48.1216,-123.462,2
48029,Life Options,na,na,"301 Division St
Grandview, WA 98930",Washington,United States,Yakima,na,na,na,na,na,46.2533,-119.902,2
48028,Life Choices Pregnancy Medical Center,na,na,"305 S 11th Ave, Ste 1
Yakima, WA 98902",Washington,United States,Yakima,na,na,na,na,na,46.5939,-120.522,2
48027,Life Choices of Wenatchee Valley,na,na,"351 Orondo Ave
Wenatchee, WA 98801",Washington,United States,Chelan,na,na,na,na,na,47.4214,-120.314,2
48026,Hope Medical,na,na,"7500 W Arrowhead Ave
Kennewick, WA 99336",Washington,United States,Benton,na,na,na,na,na,46.2305,-119.222,2
48025,Heart and Hands Pregnancy Care Center,na,na,"2638 Simpson Ave
Hoquiam, WA 98550",Washington,United States,Grays Harbor,na,na,na,na,na,46.975,-123.863,2
48024,Goldendale Pregnancy Resource Center,na,na,"120 W Allyn St Goldendale, WA 98620",Washington,United States,Klickitat,na,na,na,na,na,45.8205,-120.824,2
48023,Crossroads Pregnancy Resource Center of Ephrata,na,na,"153 4th Ave NW
Ephrata, WA 98823",Washington,United States,Grant,na,na,na,na,na,47.3246,-119.548,2
48022,Crossroads Pregnancy Resource Center of Moses Lake,na,na,"1555 S Pilgrim St
Moses Lake, WA 98837",Washington,United States,Grant,na,na,na,na,na,47.1114,-119.262,2
48021,Celebrate Life Pregnancy and Parenting Support Services,na,na,"1125 Bethel Ave, Ste 588 Port Orchard, WA 98366",Washington,United States,Kitsap,na,na,na,na,na,47.5396,-122.641,2
48020,Caring Pregnancy Center,na,na,"1010 Fir St
Longview, WA 98632",Washington,United States,Cowlitz,na,na,na,na,na,46.1316,-122.933,2
48019,Care Net Pregnancy Centers NCW,na,na,"402 Burdin Blvd
Grand Coulee, WA 99133",Washington,United States,Grant,na,na,na,na,na,47.9433,-119.006,2
48018,Care Net Pregnancy Centers NCW,na,na,"205 3rd St
Brewster, WA 98841",Washington,United States,Okanogan,na,na,na,na,na,48.0978,-119.78,2
48017,Options Pregnancy Clinic,na,na,"135 Lilly Rd NE
Olympia, WA 98506",Washington,United States,Thurston,na,na,na,na,na,47.0489,-122.845,2
48016,Care Net Pregnancy Centers NCW,na,na,"808 Central Ave
Oroville, WA 98841",Washington,United States,Okanogan,na,na,na,na,na,48.9394,-119.436,2
48015,Care Net Pregnancy Centers NCW,na,na,"4 S Main St
Omak, WA 98841",Washington,United States,Okanogan,na,na,na,na,na,48.4106,-119.529,2
48014,Care Net Mason County Pregnancy Resource Clinic,na,na,"2233 Jefferson St
Shelton, WA 98584",Washington,United States,Mason,na,na,na,na,na,47.2244,-123.121,2
48013,Care Net Pregnancy Center of Kittitas County,na,na,"111 E 4th Ave
Ellensburg, WA 98926",Washington,United States,Kittitas,na,na,na,na,na,46.9958,-120.547,2
48012,Care Net Pregnancy and Family Services of Puget Sound,na,na,"1924 South Cedar St, Ste B
Tacoma, WA 98405",Washington,United States,Pierce,na,na,na,na,na,47.242,-122.477,2
48011,Care Net Pregnancy and Family Services of Puget Sound,na,na,"11102 Sunrise Blvd E, Ste 107
Puyallup, WA 98374",Washington,United States,Pierce,na,na,na,na,na,47.0977,-122.281,2
48010,Care Net Pregnancy and Family Services of Puget Sound,na,na,"10828 Gravelly Dr SW, Ste 101
Lakewood, WA 98499",Washington,United States,Pierce,na,na,na,na,na,47.1584,-122.521,2
48009,Care Net Pregnancy and Family Services of Puget Sound,na,na,"6524 NE 181st St, Ste 9
Kenmore, WA 98028",Washington,United States,King,na,na,na,na,na,47.76,-122.252,2
48008,Care Net Pregnancy and Family Services of Puget Sound,na,na,"2727 Hollycroft St, Ste 130 
Gig Harbor, WA 98335",Washington,United States,Pierce,na,na,na,na,na,47.3095,-122.576,2
48007,Care Net Pregnancy and Family Services of Puget Sound,na,na,"1414 S 324th St, Ste B-105
Federal Way, WA 98003",Washington,United States,King,na,na,na,na,na,47.3123,-122.315,2
48005,Birthright of Yakima,na,na,"313A S 11th Ave
Yakima, WA 98902",Washington,United States,Yakima,na,na,na,na,na,46.5933,-120.522,2
48004,Birthright of Sunnyside,na,na,"420 S 7th St
Sunnyside, WA 98944",Washington,United States,Yakima,na,na,na,na,na,46.3241,-120.011,2
48002,Birthright of Walla Walla,na,na,"609 W Birch St
Walla Walla, WA 99362",Washington,United States,Walla Walla,na,na,na,na,na,46.0606,-118.345,2
48001,Birthright,na,na,"214 E 17th St
Vancouver, WA 98663",Washington,United States,Clark,na,na,na,na,na,45.6343,-122.67,2
47056,First Care Women's Health,na,na,"13189 Centerpointe Way
Woodbridge, VA 22193",Virginia,United States,Prince William,na,na,na,na,na,38.667,-77.3337,2
47055,Pregnancy Resource Center of Metro Richmond,na,na,"5501 Midlothian Turnpike
Richmond, VA 23225",Virginia,United States,Richmond City,na,na,na,na,na,37.5037,-77.499,2
47054,Pregnancy Support Center of Southside Virginia,na,na,"15396 Patrick Henry Hwy
Amelia, VA 23002",Virginia,United States,Amelia,na,na,na,na,na,37.3582,-77.9598,1
47053,Pregnancy Support Center of Southside Virginia,na,na,"1977 Church St
Appomattox, VA 24522",Virginia,United States,Appomattox,na,na,na,na,na,37.3552,-78.8267,1
47052,Pregnancy Support Center of Southside Virginia,na,na,"245 Camden St
Dillwyn, VA 23936",Virginia,United States,Buckingham,na,na,na,na,na,37.5369,-78.4628,1
47051,"AbbaCare, Inc.",na,na,"200 Weems Ln
Winchester, VA 22601",Virginia,United States,Winchester City,na,na,na,na,na,39.1618,-78.1793,2
47050,Hope Pregnancy Care Center,na,na,"10 Harrison Ave
Williamsburg, VA 23185",Virginia,United States,James City,na,na,na,na,na,37.2748,-76.7151,2
47049,ComfortCare Women's Health,na,na,"1305 13th St
Waynesboro, VA 22980",Virginia,United States,Waynesboro City,na,na,na,na,na,38.0685,-78.9016,2
47048,Warrenton Pregnancy Center,na,na,"400 Holiday Court, Ste 101
Warrenton, VA 20186",Virginia,United States,Fauquier,na,na,na,na,na,38.7212,-77.7832,2
47047,The Keim Center of Virginia Beach,na,na,"4356 Bonney Rd, Ste 103
Virginia Beach, VA 23452",Virginia,United States,Virginia Beach City,na,na,na,na,na,36.837,-76.1249,2
47046,The Keim Center of Suffolk,na,na,"302 N Main St, Ste A
Suffolk, VA 23434",Virginia,United States,Suffolk City,na,na,na,na,na,36.7323,-76.5815,2
47045,ComfortCare Women's Health,na,na,"1020 N Augusta St
Staunton, VA 24401",Virginia,United States,Staunton City,na,na,na,na,na,38.1593,-79.0701,2
47044,Blue Ridge Women's Center,na,na,"5034 Williamson Rd NW
Roanoke, VA 24012",Virginia,United States,Roanoke City,na,na,na,na,na,37.3187,-79.9556,2
47043,East End Pregnancy Center,na,na,"4705 Nine Mile Rd
Richmond, VA 23223",Virginia,United States,Richmond City,na,na,na,na,na,37.5422,-77.3705,2
47042,Pregnancy Resource Center of Metro Richmond,na,na,"1510 Willow Lawn Dr, Ste 200
Richmond, VA 23230",Virginia,United States,Henrico,na,na,na,na,na,37.581,-77.5006,2
47041,Valley Women's Clinic,na,na,"1016 Fairfax St
Radford, VA 24141",Virginia,United States,Radford,na,na,na,na,na,37.1369,-80.5539,2
47040,The Keim Center of Portsmouth,na,na,"4224 Portsmouth Blvd
Portsmouth, VA 23701",Virginia,United States,Portsmouth City,na,na,na,na,na,36.8157,-76.3573,2
47039,Pregnancy Support Center of the Tri-Cities,na,na,"700 S Sycamore St, Ste 12
Petersburg, VA 23803",Virginia,United States,Petersburg City,na,na,na,na,na,37.217,-77.3998,2
47037,Birthright of Norfolk,na,na,"4101 Granby St, Ste 201
Norfolk, VA 23504",Virginia,United States,Norfolk City,na,na,na,na,na,36.8843,-76.2818,2
47036,The Keim Center of Norfolk,na,na,"2121 Colonial Ave
Norfolk, VA 23517",Virginia,United States,Norfolk City,na,na,na,na,na,36.8697,-76.2919,2
47035,Care Net Penninsula,na,na,"11747 Jefferson Ave, Ste 2D
Newport News, VA 23606",Virginia,United States,Newsport News City,na,na,na,na,na,37.0829,-76.4812,2
47034,"Pregnancy Care Center of MHC, Inc",na,na,"314 Fairy St, Ste E
Martinsville, VA 24112",Virginia,United States,Martinsville City,na,na,na,na,na,36.696,-79.8598,2
47032,First Care Women's Health,na,na,"8691 Stonewall Rd, Ste B
Manassas, VA 20110",Virginia,United States,Manassas City,na,na,na,na,na,38.7672,-77.4792,2
47031,Blue Ridge Pregnancy Center,na,na,"1915 Thomson Dr
Lynchburg, VA 24501",Virginia,United States,Campbell,na,na,na,na,na,37.4173,-79.1746,2
47030,The Life Center of Page Valley,na,na,"21 N Deford Ave
Luray, VA 22835",Virginia,United States,Page,na,na,na,na,na,38.6664,-78.4556,2
47029,ComfortCare Women's Health,na,na,"631 Waddell St
Lexington, VA 24450",Virginia,United States,Lexington City,na,na,na,na,na,37.7727,-79.4464,2
47028,Birthright of Leesburg,na,na,"16 Royal St SE
Leesburg, VA 20175",Virginia,United States,Loudoun,na,na,na,na,na,39.1135,-77.5643,2
47027,Mosaic Virginia,na,na,"19415 Deerfield Ave, Ste 109
Lansdowne, VA 20176",Virginia,United States,Loudoun,na,na,na,na,na,39.0872,-77.4783,2
47026,A Woman's Choice,na,na,"102 Elden St, Ste 14
Herndon, VA 20170",Virginia,United States,Fairfax,na,na,na,na,na,38.9668,-77.3664,2
47025,AVA Care of Harrisonburg,na,na,"833 Martin Luther King Jr Way
Harrisonburg, VA 22801",Virginia,United States,Harrisonburg City,na,na,na,na,na,38.4407,-78.8565,2
47024,Tri-Area Pregnancy Resource Center,na,na,"111 N Main St
Galax, VA 24333",Virginia,United States,Galax City,na,na,na,na,na,36.6623,-80.9246,2
47023,Front Royal Pregnancy Center,na,na,"11 S Royal Ave
Front Royal, VA 22630",Virginia,United States,Warren,na,na,na,na,na,38.9176,-78.1937,2
47022,Birthright of Fredericksburg,na,na,"2006 Lafayette Blvd, Ste 202
Fredericksburg, VA 22401",Virginia,United States,Fredericksburg City,na,na,na,na,na,38.2772,-77.4816,2
47021,Choices Women's Center,na,na,"10008 Southpoint Pkway, Ste 105
Fredericksburg, VA 22407",Virginia,United States,Fredericksburg City,na,na,na,na,na,38.2371,-77.5061,2
47020,Pregnancy Support Center of Southside Virginia,na,na,"1101 E Third St
Farmville, VA 23901",Virginia,United States,Prince Edward,na,na,na,na,na,37.2957,-78.3802,2
47019,A Woman's Choice,na,na,"6201 Leesburg Pike, Ste 220
Falls Church, VA 22044",Virginia,United States,Fairfax,na,na,na,na,na,38.8656,-77.1517,2
47018,Options Care Center,na,na,"7297 Lee Hwy, Ste L
Falls Church, VA 22042",Virginia,United States,Falls Church City,na,na,na,na,na,38.8776,-77.191,2
47017,NOVA Pregnancy Help Centers,na,na,"3919 Old Lee Hwy, Ste 81-B 
Fairfax, VA 22030",Virginia,United States,Fairfax,na,na,na,na,na,38.8469,-77.3028,2
47016,Shenandoah County Pregnancy Center,na,na,"28 Cedarwood Ln
Edinburg, VA 22824",Virginia,United States,Shenandoah,na,na,na,na,na,38.8207,-78.5717,2
